Year,Sample,Enclosure,CB,NV,WY,UT
2013,SBFSE301,SE,0.356,0.568875,0.0505,0.024125
2013,SBFSE302,SE,0.038625,0.87525,0.0565,0.029875
2013,SBFSE303,SE,0.053625,0.828125,0.044,0.07425
2013,SBFSE304,SE,0.058375,0.5455,0.056375,0.3395
2013,SBFSE305,SE,0.173375,0.71325,0.0655,0.047875
2013,SBFSE306,SE,0.108,0.651625,0.216375,0.024125
2013,SBFSE307,SE,0.18525,0.660875,0.136875,0.017
2013,SBFSE308,SE,0.026625,0.893875,0.03525,0.043875
2013,SBFSE309,SE,0.045,0.814375,0.07725,0.063
2013,SBFSE310,SE,0.052625,0.8425,0.06775,0.037125
2013,SBFSE311,SE,0.0575,0.681875,0.027125,0.2335
2013,SBFSE312,SE,0.074625,0.8065,0.094375,0.0245
2013,SBFSE313,SE,0.104875,0.762875,0.109125,0.022875
2013,SBFSE314,SE,0.05875,0.838125,0.068,0.035125
2013,SBFSE315,SE,0.044875,0.795875,0.136625,0.022875
2013,SBFSE316,SE,0.06175,0.60225,0.035875,0.3
2013,SBFSE317,SE,0.056875,0.84375,0.04725,0.05225
2013,SBFSE318,SE,0.44775,0.460625,0.07725,0.014375
2013,SBFSE320,SE,0.386,0.529125,0.02475,0.060375
2013,SBFSE321,SE,0.128,0.58175,0.05325,0.237
2013,SBFSE322,SE,0.3715,0.409125,0.08475,0.13425
2013,SBFSE323,SE,0.27675,0.67025,0.033,0.020125
2013,SBFSE324,SE,0.329125,0.6105,0.04475,0.016
2013,SBFSE325,SE,0.301375,0.550375,0.122375,0.025875
2013,SBFSE326,SE,0.026625,0.865875,0.074,0.03325
2013,SBFSE327,SE,0.05425,0.760125,0.15825,0.027375
2013,SBFSE328,SE,0.438625,0.46825,0.062,0.03125
2013,SBFSE329,SE,0.082,0.5385,0.362125,0.017
2013,SBFSE331,SE,0.085875,0.828125,0.057625,0.02825
2013,SBFSE333,SE,0.04975,0.52975,0.40325,0.017125
2013,SBFSE335,SE,0.06725,0.7885,0.072875,0.07125
2013,SBFSE338,SE,0.300375,0.620875,0.050125,0.0285
2013,SBFSE339,SE,0.03525,0.617,0.1745,0.173375
2013,SBFSE340,SE,0.048,0.8305,0.05925,0.062375
2013,SBFSE341,SE,0.112625,0.546,0.309375,0.032375
2013,SBFSE342,SE,0.064875,0.78625,0.124,0.025
2013,SBFSE343,SE,0.322375,0.60475,0.051375,0.021625
2013,SBFSE345,SE,0.30575,0.4645,0.0755,0.154375
2013,SBFSE347,SE,0.422,0.494875,0.04225,0.04075
2013,SBFSE348,SE,0.0415,0.4215,0.49425,0.04275
