Year,Sample,CB,NV,WY,UT
2017,WA00141,0.17,0.6138,0.211,0.0054
2017,WA00142,0.1228,0.6262,0.2445,0.0064
2017,WA00092,0.1671,0.5953,0.2336,0.0038
2017,WA00143,0.1609,0.6496,0.1831,0.0063
2017,WA00144,0.1292,0.6001,0.2654,0.0054
2017,WA00145,0.1713,0.6489,0.1759,0.0039
2017,WA00146,0.2033,0.6624,0.1295,0.0047
2017,WA00233,0.1248,0.6642,0.2058,0.0054
2017,WA00226,0.1782,0.6601,0.1573,0.0046
2017,WA00228,0.1781,0.622,0.1952,0.0046
2017,WA00227,0.162,0.6268,0.207,0.0043
2017,WA00147,0.139,0.6947,0.162,0.0043
2017,WA00093,0.1347,0.6771,0.1846,0.0037
2017,WA00230,0.1163,0.6656,0.2139,0.0042
2017,WA00148,0.1569,0.6749,0.1637,0.0044
2017,WA00149,0.1583,0.6777,0.1589,0.0052
2017,WA00150,0.134,0.6727,0.1895,0.0036
2017,WA00177,0.1455,0.6883,0.1595,0.0066
2017,WA00178,0.1924,0.6305,0.1734,0.0039
2017,WA00179,0.1603,0.6933,0.1416,0.0047
2017,WA00232,0.1392,0.6663,0.1897,0.0047
2017,WA00231,0.1252,0.6991,0.1703,0.0046
2017,WA00180,0.1373,0.6945,0.1649,0.0032
2017,WA00181,0.149,0.6981,0.1493,0.0038
2017,WA00235,0.1603,0.6534,0.1827,0.0037
2017,WA00229,0.1868,0.6077,0.2018,0.0037
2017,WA00182,0.1694,0.6545,0.1719,0.0043
2017,WA00183,0.1451,0.643,0.2077,0.0043
2017,WA00184,0.1938,0.6195,0.1822,0.0045
2017,WA00185,0.1273,0.6985,0.1682,0.0059
2017,WA00186,0.2067,0.6491,0.1395,0.0046
2017,WA00187,0.1418,0.6121,0.2428,0.0036
2017,WA00188,0.2395,0.5847,0.1714,0.0046
2017,WA00238,0.1078,0.748,0.1399,0.0044
2017,WA00240,0.1073,0.6676,0.2207,0.0044
2017,WA00239,0.1624,0.6671,0.1646,0.006
2017,WA00192,0.1204,0.7467,0.1292,0.0037
2017,WA00237,0.1595,0.6036,0.2333,0.0039
2017,WA00199,0.1674,0.6944,0.1327,0.0055
2017,WA00200,0.1616,0.6505,0.1813,0.0067
2017,WA00193,0.1463,0.6255,0.2247,0.0036
2017,WA00236,0.1549,0.6072,0.2319,0.0057
2017,WA00223,0.1641,0.6448,0.1875,0.0035
2017,WA0060,0.2629,0.5633,0.1704,0.0035
2017,WA0070,0.1724,0.5871,0.2377,0.003
2018,WA00319,0.1203,0.6516,0.2198,0.0084
2018,WA00320,0.17,0.6467,0.1753,0.0079
2018,WA00321,0.2464,0.6363,0.1098,0.0074
2018,WA00322,0.1986,0.5555,0.2395,0.0064
2018,WA00323,0.2688,0.5966,0.1285,0.006
2018,WA00324,0.1351,0.5608,0.2929,0.0113
2018,WA00325,0.1343,0.6921,0.1637,0.0099
2018,WA00326,0.2237,0.6192,0.149,0.0079
2018,WA00327,0.1283,0.7147,0.1466,0.0103
2018,WA00328,0.1909,0.6815,0.1206,0.0067
2018,WA00329,0.1472,0.6984,0.1467,0.0079
2018,WA00330,0.2583,0.5653,0.1698,0.0067
2018,WA00331,0.2144,0.633,0.145,0.0077
2018,WA00332,0.1685,0.6475,0.175,0.0091
2018,WA00333,0.1544,0.6334,0.1976,0.0146
2018,WA00334,0.1581,0.6794,0.1546,0.0077
2018,WA00335,0.2198,0.6622,0.1105,0.0073
2018,WA00336,0.1763,0.599,0.2171,0.0075
2018,WA00337,0.1449,0.5599,0.2871,0.0079
2018,WA00338,0.2016,0.618,0.1722,0.0079
2018,WA00339,0.1546,0.6877,0.1505,0.0073
2018,WA00340,0.2746,0.6182,0.0994,0.0077
2018,WA00341,0.1731,0.6479,0.1693,0.0097
2018,WA00342,0.1559,0.6097,0.2269,0.0079
2018,WA00343,0.214,0.644,0.133,0.0089
2018,WA00344,0.1386,0.595,0.2521,0.0142
